"CDMunicipio","NRUORG"
"2200954","037000000"
"2201002","037000000"
"2201051","037000000"
"2201101","037000000"
"2201150","037000000"
"2201176","037000000"
"2201200","037901000"
"2201309","037000000"
"2201408","037000000"
"2201507","037901000"
"2201556","037000000"
"2201572","037000000"
"2201606","037000000"
"2201705","037000000"
"2201739","037000000"
"2201770","037000000"
"2201804","037000000"
"2201903","037000000"
"2201919","037901000"
"2201929","037000000"
"2201945","037000000"
"2201960","037901000"
"2201988","037000000"
"2202000","037901000"
"2202026","037000000"
"2202059","037901000"
"2202075","037000000"
"2202083","037000000"
"2202091","037000000"
"2202109","037000000"
"2202117","037000000"
"2202133","037000000"
"2202174","037000000"
"2202208","037000000"
"2202251","037000000"
"2202307","037000000"
"2202406","037901000"
"2202455","037000000"
"2202505","037000000"
"2202539","037000000"
"2202554","037000000"
"2202604","037000000"
"2202653","037000000"
"2202703","037901000"
"2202711","037000000"
"2202729","037000000"
"2202737","037000000"
"2202752","037000000"
"2202778","037000000"
"2202802","037000000"
"2202851","037000000"
"2202901","037000000"
"2203008","037000000"
"2203107","037000000"
"2203206","037000000"
"2203230","037000000"
"2203255","037000000"
"2203271","037000000"
"2203305","037000000"
"2203354","037000000"
"2203404","037000000"
"2203420","037000000"
"2203453","037000000"
"2203503","037000000"
"2203602","037000000"
"2203701","037901000"
"2203750","037000000"
"2203800","037000000"
"2203859","037000000"
"2203909","037000000"
"2204006","037000000"
"2204105","037000000"
"2204154","037000000"
"2204204","037000000"
"2204303","037000000"
"2204352","037000000"
"2204402","037000000"
"2204501","037000000"
"2204550","037000000"
"2204600","037000000"
"2204659","037000000"
"2204709","037000000"
"2204808","037000000"
"2204907","037000000"
"2205003","037000000"
"2205102","037000000"
"2205151","037000000"
"2205201","037000000"
"2205250","037000000"
"2205276","037000000"
"2205300","037000000"
"2205359","037000000"
"2205409","037901000"
"2205458","037000000"
"2205508","037000000"
"2205516","037000000"
"2205524","037000000"
"2205532","037000000"
"2205540","037000000"
"2205557","037000000"
"2205565","037000000"
"2205573","037000000"
"2205581","037000000"
"2205599","037000000"
"2205607","037000000"
"2205706","037901000"
"2205805","037901000"
"2205854","037000000"
"2205904","037000000"
"2205953","037000000"
"2206001","037000000"
"2206050","037000000"
"2206100","037901000"
"2206209","037000000"
"2206308","037000000"
"2206357","037000000"
"2206407","037000000"
"2206506","037000000"
"2206605","037000000"
"2206654","037000000"
"2206670","037000000"
"2206696","037000000"
"2206704","037000000"
"2206720","037000000"
"2206753","037000000"
"2206803","037901000"
"2206902","037000000"
"2206951","037000000"
"2207009","037000000"
"2207108","037000000"
"2207207","037000000"
"2207306","037000000"
"2207355","037000000"
"2207405","037000000"
"2207504","037000000"
"2207553","037000000"
"2207603","037000000"
"2207702","037901000"
"2207751","037000000"
"2207777","037000000"
"2207793","037000000"
"2207801","037000000"
"2207850","037000000"
"2207900","037901000"
"2207934","037000000"
"2207959","037000000"
"2208007","037000000"
"2208106","037000000"
"2208205","037000000"
"2208304","037901000"
"2208403","037901000"
"2208502","037901000"
"2208551","037000000"
"2208601","037000000"
"2208650","037000000"
"2208700","037000000"
"2208809","037000000"
"2208858","037000000"
"2208874","037000000"
"2208908","037000000"
"2209005","037000000"
"2209104","037000000"
"2209153","037000000"
"2209203","037000000"
"2209302","037000000"
"2209351","037000000"
"2209377","037000000"
"2209401","037000000"
"2209450","037000000"
"2209500","037000000"
"2209559","037000000"
"2209609","037000000"
