"CDSubclasse","CDSecao"
"6142600","J"
"6143400","J"
"6190601","J"
"6190602","J"
"6190699","J"
"6201500","J"
"6201501","J"
"6201502","J"
"6202300","J"
"6203100","J"
"6204000","J"
"6209100","J"
"6311900","J"
"6319400","J"
"6391700","J"
"6399200","J"
"6410700","K"
"6421200","K"
"6422100","K"
"6423900","K"
"6424701","K"
"6424702","K"
"6424703","K"
"6424704","K"
"6431000","K"
"6432800","K"
"6433600","K"
"6434400","K"
"6435201","K"
"6435202","K"
"6435203","K"
"6436100","K"
"6437900","K"
"6438701","K"
"6438799","K"
"6440900","K"
"6450600","K"
"6461100","K"
"6462000","K"
"6463800","K"
"6470101","K"
"6470102","K"
"6470103","K"
"6491300","K"
"6492100","K"
"6493000","K"
"6499901","K"
"6499902","K"
"6499903","K"
"6499904","K"
"6499905","K"
"6499999","K"
"6511101","K"
"6511102","K"
"6512000","K"
"6520100","K"
"6530800","K"
"6541300","K"
"6542100","K"
"6550200","K"
"6611801","K"
"6611802","K"
"6611803","K"
"6611804","K"
"6612601","K"
"6612602","K"
"6612603","K"
"6612604","K"
"6612605","K"
"6613400","K"
"6619301","K"
"6619302","K"
"6619303","K"
"6619304","K"
"6619305","K"
"6619399","K"
"6621501","K"
"6621502","K"
"6622300","K"
"6629100","K"
"6630400","K"
"6810201","L"
"6810202","L"
"6810203","L"
"6821801","L"
"6821802","L"
"6822600","L"
"6911701","M"
"6911702","M"
"6911703","M"
"6912500","M"
"6920601","M"
"6920602","M"
"7020400","M"
"7111100","M"
"7112000","M"
"7119701","M"
"7119702","M"
"7119703","M"
"7119704","M"
"7119799","M"
"7120100","M"
"7210000","M"
"7220700","M"
"7311400","M"
"7312200","M"
"7319001","M"
"7319002","M"
"7319003","M"
"7319004","M"
"7319099","M"
"7320300","M"
"7410201","M"
"7410202","M"
"7410203","M"
"7410299","M"
"7420001","M"
"7420002","M"
"7420003","M"
"7420004","M"
"7420005","M"
"7490101","M"
"7490102","M"
"7490103","M"
"7490104","M"
"7490105","M"
"7490199","M"
"7500100","M"
"7711000","N"
"7719501","N"
